key,ph,alcohol,quality,country,price,rate,year,decade,type
1,3.57,10.2,5,Italy,145.65,88,1982,198,RIESLING
2,3.2,9.8,5,Argentina,17.12,53,2000,200,Merlot
3,3.42,11,6,Kazahstan,63.31,8,2003,200,Shiraz
4,3.52,11.2,6,Argentina,89.87,82,2002,200,Merlot
5,3.45,10.5,5,Argentina,128.45,93,2007,200,Shiraz
6,3.51,9.4,5,Kazahstan,20.38,66,1973,197,Merlot
7,3.42,9.5,6,Italy,95.91,13,1992,199,Pinot
8,3.42,13.68,6,California,122.33,26,1980,198,RIESLING
9,3.67,11.6,6,Italy,69.56,40,1994,199,RIESLING
10,3.32,11.6,6,Kazahstan,55.92,19,1969,196,RIESLING
11,3.29,9.2,5,Italy,191.42,89,1980,198,Pinot
12,3.27,12.8,6,Argentina,155.21,39,1975,197,Pinot
13,3.55,10.9,6,Montenegro,154.54,84,1990,199,Merlot
14,3.34,11.4,6,Kazahstan,53.67,26,1977,197,Merlot
15,3.3,11.5,6,Montenegro,82.53,22,1991,199,RIESLING
16,3.33,13.32,5,California,33.78,95,2008,200,Pinot
17,3.57,11.9,5,Kazahstan,74.69,57,1962,196,Shiraz
18,3.54,11.3,5,Argentina,136.9,94,1986,198,RIESLING
19,3.36,11.9,6,Argentina,135.11,47,1979,197,Pinot
20,3.04,9.2,6,Argentina,19.36,5,2013,201,Shiraz
21,3.54,14.16,5,California,165.6,44,2002,200,RIESLING
22,3.42,11.3,6,Kazahstan,69.76,45,1991,199,RIESLING
23,3.54,11.9,6,Kazahstan,63.11,95,1986,198,Shiraz
24,3.3,10.8,6,Argentina,137.8,51,1994,199,Merlot
25,3.26,11.8,6,Montenegro,56.15,39,2013,201,Chardonnay
26,3.39,10.5,6,France,76,38,1971,197,RIESLING
27,3.33,9.5,5,Argentina,121.68,76,1987,198,Chardonnay
28,3.44,11.1,6,France,196,98,2014,201,Shiraz
29,3.37,12.4,6,Italy,117.48,88,2008,200,Chardonnay
30,3.48,11.5,6,Argentina,102.45,73,1985,198,Pinot
